bird_class,bird_number_x,matches_x,matches2_x,bird_number_y,matches2_y,English name,Scientific Name,matches_y,Species1,Family1,Order1,Avibase.ID1,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
Gadwall,46,Gadwall,Gadwall,46,Gadwall,Gadwall,Mareca strepera,Mareca strepera,Mareca strepera,Anatidae,Anseriformes,AVIBASE-C235A4D7,4,48.7,34.7,16.5,13.7,36.5,251.3,137.0,113.0,54.8,83.0,915.6,Wetland,3,2.0,Herbivore,Herbivore aquatic,Aquatic,27.64,67.99,49.62,29.99,18552362.65
American Goldfinch,47,American Goldfinch,American Goldfinch,47,American Goldfinch,American Goldfinch,Spinus tristis,Spinus tristis,Spinus tristis,Fringillidae,Passeriformes,AVIBASE-C9ABA616,8,11.5,8.2,4.3,6.3,13.5,69.8,19.1,50.3,27.6,48.3,12.8,Forest,1,1.0,Herbivore,Granivore,Insessorial,31.4,57.36,44.46,-96.32,7802444.22
European Goldfinch,48,European Goldfinch,European Goldfinch,48,European Goldfinch,European Goldfinch,Carduelis carduelis,Carduelis carduelis,Carduelis carduelis,Fringillidae,Passeriformes,AVIBASE-59353A05,12,15.4,11.2,5.5,7.2,14.7,77.4,25.8,51.6,33.4,48.6,16.0,Woodland,2,1.0,Herbivore,Granivore,Insessorial,23.49,63.96,50.13,35.73,11860717.87
Boat tailed Grackle,49,Boat-tailed Grackle,Boat-tailed Grackle,49,Boat-tailed Grackle,Boat-tailed Grackle,Quiscalus major,Quiscalus major,Quiscalus major,Icteridae,Passeriformes,AVIBASE-EF47E15D,4,38.5,28.1,6.9,10.5,42.8,155.0,47.6,111.9,29.7,141.4,151.2,Wetland,3,1.0,Carnivore,Omnivore,Terrestrial,24.99,41.14,30.85,-81.65,202767.11
Crested Auklet,5,Crested Auklet,Crested Auklet,5,Crested Auklet,Crested Auklet,Aethia cristatella,Aethia cristatella,Aethia cristatella,Alcidae,Charadriiformes,AVIBASE-3DC4EBB8,4,21.1,7.1,6.1,10.9,27.4,139.4,61.0,77.2,44.1,38.0,259.4,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,46.33,66.24,55.91,31.33,479141.29
Eared Grebe,50,Black-eared Wood Quail,Black-eared Wood Quail,50,Black-eared Wood Quail,Black-eared Wood Quail,Odontophorus melanotis,Odontophorus melanotis,Odontophorus melanotis,Odontophoridae,Galliformes,AVIBASE-DE957D9D,4,19.6,11.1,8.9,12.1,41.9,139.5,33.5,106.0,24.1,56.2,335.0,Forest,1,1.0,Herbivore,Omnivore,Terrestrial,7.81,16.03,12.49,-83.89,128032.3
Horned Grebe,51,Horned Grebe,Horned Grebe,51,Horned Grebe,Horned Grebe,Podiceps auritus,Podiceps auritus,Podiceps auritus,Podicipedidae,Podicipediformes,AVIBASE-018B3169,4,30.2,15.4,4.7,7.1,42.9,137.8,57.2,78.3,42.2,33.2,453.0,Wetland,3,3.0,Carnivore,Aquatic predator,Aquatic,41.12,70.66,57.33,19.63,16211072.27
Pied billed Grebe,52,Pied-billed Grebe,Pied-billed Grebe,52,Pied-billed Grebe,Pied-billed Grebe,Podilymbus podiceps,Podilymbus podiceps,Podilymbus podiceps,Podicipedidae,Podicipediformes,AVIBASE-9A8E55D0,4,28.8,14.1,5.4,10.6,37.1,125.6,41.8,81.1,34.0,32.6,411.9,Wetland,3,2.0,Carnivore,Aquatic predator,Aquatic,-51.63,62.3,21.61,-86.81,21361785.48
Western Grebe,53,Western Grebe,Western Grebe,53,Western Grebe,Western Grebe,Aechmophorus occidentalis,Aechmophorus occidentalis,Aechmophorus occidentalis,Podicipedidae,Podicipediformes,AVIBASE-C6E1197B,4,73.2,54.1,6.6,10.2,71.7,184.5,75.4,109.0,40.8,29.8,1137.0,Wetland,3,3.0,Carnivore,Aquatic predator,Aquatic,18.07,58.29,44.29,-110.04,4866227.6
Blue Grosbeak,54,Blue Grosbeak,Blue Grosbeak,54,Blue Grosbeak,Blue Grosbeak,Passerina caerulea,Passerina caerulea,Passerina caerulea,Cardinalidae,Passeriformes,AVIBASE-A7A75EA1,7,17.0,12.3,7.4,10.9,20.3,86.1,19.9,67.2,22.9,64.4,27.4,Forest,2,3.0,Carnivore,Invertivore,Generalist,9.17,46.7,32.93,-98.5,5300267.2
Evening Grosbeak,55,Evening Grosbeak,Evening Grosbeak,55,Evening Grosbeak,Evening Grosbeak,Hesperiphona vespertina,Hesperiphona vespertina,Hesperiphona vespertina,Fringillidae,Passeriformes,AVIBASE-C6B5497C,4,22.7,16.0,10.5,14.5,21.4,109.8,37.6,72.4,34.2,67.2,57.3,Forest,1,2.0,Herbivore,Omnivore,Insessorial,17.03,60.61,47.25,-102.49,3942604.88
Pine Grosbeak,56,Pine Grosbeak,Pine Grosbeak,56,Pine Grosbeak,Pine Grosbeak,Pinicola enucleator,Pinicola enucleator,Pinicola enucleator,Fringillidae,Passeriformes,AVIBASE-83AC4DAD,4,16.6,12.3,8.6,11.2,19.6,109.2,32.1,77.1,29.4,85.1,56.4,Forest,1,2.0,Herbivore,Omnivore,Insessorial,34.57,70.33,58.66,26.24,18396768.3
Rose breasted Grosbeak,57,Rose-breasted Grosbeak,Rose-breasted Grosbeak,57,Rose-breasted Grosbeak,Rose-breasted Grosbeak,Pheucticus ludovicianus,Pheucticus ludovicianus,Pheucticus ludovicianus,Cardinalidae,Passeriformes,AVIBASE-7C2FCB13,10,18.6,11.8,8.8,11.8,21.6,101.3,27.4,75.8,26.5,74.6,42.0,Forest,2,3.0,Herbivore,Omnivore,Insessorial,33.98,63.06,47.76,-96.18,3980871.24
Pigeon Guillemot,58,Pigeon Guillemot,Pigeon Guillemot,58,Pigeon Guillemot,Pigeon Guillemot,Cepphus columba,Cepphus columba,Cepphus columba,Alcidae,Charadriiformes,AVIBASE-2F5DF476,4,36.5,22.4,6.1,9.9,32.0,173.4,69.2,103.5,40.1,46.4,530.0,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,34.29,69.21,55.77,-72.97,1700815.29
California Gull,59,California Gull,California Gull,59,California Gull,California Gull,Larus californicus,Larus californicus,Larus californicus,Laridae,Charadriiformes,AVIBASE-7FCE8A43,4,55.7,19.8,7.0,14.2,57.0,377.0,220.2,156.8,58.4,140.0,683.4,Coastal,3,2.0,Omnivore,Omnivore,Terrestrial,37.92,64.01,52.58,-110.0,1997786.84
Least Auklet,6,Least Auklet,Least Auklet,6,Least Auklet,Least Auklet,Aethia pusilla,Aethia pusilla,Aethia pusilla,Alcidae,Charadriiformes,AVIBASE-044509DA,4,15.0,5.7,5.0,6.4,19.0,94.4,37.7,55.6,40.4,27.0,84.0,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,47.78,66.43,56.93,-4.91,65157.07
Glaucous winged Gull,60,Glaucous-winged Gull,Glaucous-winged Gull,60,Glaucous-winged Gull,Glaucous-winged Gull,Larus glaucescens,Larus glaucescens,Larus glaucescens,Laridae,Charadriiformes,AVIBASE-03AC32BA,4,69.8,25.2,9.2,19.7,65.2,411.8,218.2,193.5,53.0,166.0,1056.5,Coastal,3,3.0,Carnivore,Aquatic predator,Generalist,45.49,65.31,58.07,-98.43,899194.26
Heermann Gull,61,Heermann's Gull,Heermann's Gull,61,Heermann's Gull,Heermann's Gull,Larus heermanni,Larus heermanni,Larus heermanni,Laridae,Charadriiformes,AVIBASE-6996D540,4,56.3,18.0,6.0,12.2,51.6,336.2,185.8,150.5,55.2,133.2,500.0,Coastal,3,1.0,Carnivore,Aquatic predator,Aerial,20.29,36.98,27.49,-114.16,842438.69
Herring Gull,62,European Herring Gull,European Herring Gull,62,European Herring Gull,European Herring Gull,Larus argentatus,Larus argentatus,Larus argentatus,Laridae,Charadriiformes,AVIBASE-F002188E,2,74.0,24.5,8.9,19.6,63.2,430.8,230.3,200.5,53.4,170.2,1091.0,Coastal,3,2.0,Carnivore,Aquatic predator,Generalist,44.17,71.19,62.73,23.88,1540126.95
Ivory Gull,63,Ivory Gull,Ivory Gull,63,Ivory Gull,Ivory Gull,Pagophila eburnea,Pagophila eburnea,Pagophila eburnea,Laridae,Charadriiformes,AVIBASE-FED91A1F,4,45.1,16.5,6.6,11.6,38.7,333.4,201.8,129.2,61.0,137.0,550.0,Marine,3,2.0,Carnivore,Aquatic predator,Aerial,50.73,84.11,74.49,-22.41,17367390.8
Ring billed Gull,64,Ring-billed Gull,Ring-billed Gull,64,Ring-billed Gull,Ring-billed Gull,Larus delawarensis,Larus delawarensis,Larus delawarensis,Laridae,Charadriiformes,AVIBASE-23863F65,4,48.1,19.6,6.2,13.0,51.2,366.0,205.5,160.0,56.2,133.2,516.3,Coastal,3,2.0,Carnivore,Omnivore,Terrestrial,39.94,61.17,50.01,-101.06,5396423.36
Slaty backed Gull,65,Slaty-backed Gull,Slaty-backed Gull,65,Slaty-backed Gull,Slaty-backed Gull,Larus schistisagus,Larus schistisagus,Larus schistisagus,Laridae,Charadriiformes,AVIBASE-456C7FAE,4,68.1,24.8,9.2,19.6,68.2,435.0,231.0,204.0,53.1,171.5,1323.0,Coastal,3,2.0,Carnivore,Omnivore,Generalist,40.6,66.86,53.48,145.75,1114985.14
Western Gull,66,Western Gull,Western Gull,66,Western Gull,Western Gull,Larus occidentalis,Larus occidentalis,Larus occidentalis,Laridae,Charadriiformes,AVIBASE-575A3E3B,5,64.8,23.8,8.5,18.3,64.2,397.5,200.6,193.0,51.0,145.2,922.8,Marine,3,2.0,Carnivore,Omnivore,Generalist,27.01,46.73,35.71,-120.02,91633.8
Anna Hummingbird,67,Anna's Hummingbird,Anna's Hummingbird,67,Anna's Hummingbird,Anna's Hummingbird,Calypte anna,Calypte anna,Calypte anna,Trochilidae,Caprimulgiformes,AVIBASE-42393721,3,20.6,15.7,1.6,1.7,4.6,49.0,32.1,16.9,65.6,30.0,4.2,Woodland,2,2.0,Herbivore,Nectarivore,Aerial,28.86,49.69,37.61,-118.56,493015.73
Ruby throated Hummingbird,68,Ruby-throated Hummingbird,Ruby-throated Hummingbird,68,Ruby-throated Hummingbird,Ruby-throated Hummingbird,Archilochus colubris,Archilochus colubris,Archilochus colubris,Trochilidae,Caprimulgiformes,AVIBASE-DEC3D8D0,4,20.7,15.1,1.8,1.9,3.4,40.7,27.6,14.7,65.0,24.3,3.1,Woodland,2,3.0,Omnivore,Nectarivore,Generalist,25.86,54.77,41.87,-87.72,4936988.47
Rufous Hummingbird,69,Rufous Hummingbird,Rufous Hummingbird,69,Rufous Hummingbird,Rufous Hummingbird,Selasphorus rufus,Selasphorus rufus,Selasphorus rufus,Trochilidae,Caprimulgiformes,AVIBASE-1E1B6D19,4,20.4,15.4,1.6,1.7,2.5,40.7,28.2,13.9,67.0,29.8,3.5,Forest,2,1.0,Herbivore,Nectarivore,Aerial,41.87,61.63,51.14,-123.62,1526769.21
Parakeet Auklet,7,Parakeet Auklet,Parakeet Auklet,7,Parakeet Auklet,Parakeet Auklet,Aethia psittacula,Aethia psittacula,Aethia psittacula,Alcidae,Charadriiformes,AVIBASE-2B46719D,4,20.1,8.8,6.2,12.6,29.4,146.2,60.2,86.1,41.1,39.0,270.0,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,46.63,66.76,56.09,-57.81,400570.42
Green Violetear,70,Green-fronted Lancebill,Green-fronted Lancebill,70,Green-fronted Lancebill,Green-fronted Lancebill,Doryfera ludovicae,Doryfera ludovicae,Doryfera ludovicae,Trochilidae,Caprimulgiformes,AVIBASE-0EB01930,5,37.6,30.6,2.8,2.3,5.8,57.4,35.2,22.1,61.5,34.7,6.0,Forest,1,1.0,Herbivore,Nectarivore,Aerial,-17.25,10.47,-2.45,-74.65,387149.16
Long tailed Jaeger,71,Long-tailed Jaeger,Long-tailed Jaeger,71,Long-tailed Jaeger,Long-tailed Jaeger,Stercorarius longicaudus,Stercorarius longicaudus,Stercorarius longicaudus,Stercorariidae,Charadriiformes,AVIBASE-1D446440,4,32.9,11.2,5.4,9.2,40.7,301.7,181.4,120.2,60.2,245.5,287.9,Marine,3,3.0,Carnivore,Aquatic predator,Aerial,50.63,83.11,69.42,-33.46,6233403.78
Pomarine Jaeger,72,Pomarine Jaeger,Pomarine Jaeger,72,Pomarine Jaeger,Pomarine Jaeger,Stercorarius pomarinus,Stercorarius pomarinus,Stercorarius pomarinus,Stercorariidae,Charadriiformes,AVIBASE-7CB8F5B7,4,45.8,16.1,7.2,12.5,52.0,350.8,196.1,154.5,55.8,175.6,692.5,Marine,3,3.0,Carnivore,Aquatic predator,Aerial,-7.99,77.73,70.32,38.74,3233984.08
Blue Jay,73,Blue Jay,Blue Jay,73,Blue Jay,Blue Jay,Cyanocitta cristata,Cyanocitta cristata,Cyanocitta cristata,Corvidae,Passeriformes,AVIBASE-1DA430B8,4,29.9,18.6,10.1,8.9,34.7,130.0,22.9,108.3,17.4,121.4,88.0,Woodland,2,1.0,Omnivore,Omnivore,Terrestrial,24.53,56.76,43.18,-90.29,6665383.16
Florida Jay,74,Black-collared Jay,Black-collared Jay,74,Black-collared Jay,Black-collared Jay,Cyanolyca armillata,Cyanolyca armillata,Cyanolyca armillata,Corvidae,Passeriformes,AVIBASE-2308B348,3,29.8,17.0,9.3,10.3,41.2,138.4,11.6,126.1,8.4,166.4,200.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,4.36,9.47,6.46,-72.76,53723.98
Green Jay,75,Green Jay,Green Jay,75,Green Jay,Green Jay,Cyanocorax yncas,Cyanocorax yncas,Cyanocorax yncas,Corvidae,Passeriformes,AVIBASE-361B447A,8,29.6,16.2,9.3,9.9,38.7,121.5,9.5,112.4,7.8,139.3,78.5,Forest,2,1.0,Omnivore,Omnivore,Insessorial,-17.71,28.31,10.8,-84.26,1092392.74
Dark eyed Junco,76,Dark-eyed Junco,Dark-eyed Junco,76,Dark-eyed Junco,Dark-eyed Junco,Junco hyemalis,Junco hyemalis,Junco hyemalis,Passerellidae,Passeriformes,AVIBASE-05FF3C9B,4,11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,Forest,2,3.0,Herbivore,Granivore,Generalist,30.59,70.27,53.3,-109.7,10167654.77
Tropical Kingbird,77,Tropical Kingbird,Tropical Kingbird,77,Tropical Kingbird,Tropical Kingbird,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannus melancholicus,Tyrannidae,Passeriformes,AVIBASE-BB6B236F,4,23.5,17.4,9.7,7.4,18.7,108.8,25.5,81.6,23.7,91.9,37.4,Human Modified,3,1.0,Carnivore,Invertivore,Insessorial,-41.17,33.3,-8.87,-62.17,16505803.88
Gray Kingbird,78,Grey Kingbird,Grey Kingbird,78,Grey Kingbird,Grey Kingbird,Tyrannus dominicensis,Tyrannus dominicensis,Tyrannus dominicensis,Tyrannidae,Passeriformes,AVIBASE-F5388B5E,4,30.6,21.6,11.5,8.8,18.5,116.6,35.2,81.6,30.1,89.0,46.5,Forest,3,2.0,Carnivore,Omnivore,Insessorial,7.55,30.92,17.44,-73.02,575526.35
Belted Kingfisher,79,Belted Kingfisher,Belted Kingfisher,79,Belted Kingfisher,Belted Kingfisher,Megaceryle alcyon,Megaceryle alcyon,Megaceryle alcyon,Alcedinidae,Coraciiformes,AVIBASE-3558066B,4,58.6,44.8,9.5,13.4,12.5,158.8,53.2,105.0,33.6,94.3,148.0,Riverine,3,2.0,Carnivore,Aquatic predator,Insessorial,26.81,68.33,50.37,-106.94,13996585.38
Rhinoceros Auklet,8,Rhinoceros Auklet,Rhinoceros Auklet,8,Rhinoceros Auklet,Rhinoceros Auklet,Cerorhinca monocerata,Cerorhinca monocerata,Cerorhinca monocerata,Alcidae,Charadriiformes,AVIBASE-53D94597,4,48.5,25.5,8.5,17.6,29.4,178.8,92.9,85.8,52.0,51.2,482.2,Marine,3,3.0,Carnivore,Aquatic predator,Aquatic,33.18,60.51,50.73,-51.05,316387.33
Green Kingfisher,80,Green Kingfisher,Green Kingfisher,80,Green Kingfisher,Green Kingfisher,Chloroceryle americana,Chloroceryle americana,Chloroceryle americana,Alcedinidae,Coraciiformes,AVIBASE-ED7D6741,12,42.0,34.2,6.2,8.7,7.8,76.8,19.7,57.3,25.6,57.8,33.7,Riverine,3,1.0,Carnivore,Aquatic predator,Insessorial,-36.5,32.45,-5.49,-64.46,16946715.06
Pied Kingfisher,81,Pied Kingfisher,Pied Kingfisher,81,Pied Kingfisher,Pied Kingfisher,Ceryle rudis,Ceryle rudis,Ceryle rudis,Alcedinidae,Coraciiformes,AVIBASE-8205077F,4,64.2,50.6,9.1,11.6,11.0,136.2,47.5,90.0,34.5,75.7,84.4,Wetland,3,1.0,Carnivore,Aquatic predator,Insessorial,-34.84,38.95,7.17,44.36,23875911.23
Ringed Kingfisher,82,Ringed Kingfisher,Ringed Kingfisher,82,Ringed Kingfisher,Ringed Kingfisher,Megaceryle torquata,Megaceryle torquata,Megaceryle torquata,Alcedinidae,Coraciiformes,AVIBASE-5EFB075F,4,83.6,65.2,14.9,21.1,14.3,191.3,46.5,143.0,24.5,120.2,317.0,Riverine,3,1.0,Carnivore,Aquatic predator,Insessorial,-55.98,27.12,-12.31,-61.64,16295521.19
White breasted Kingfisher,83,White-throated Kingfisher,White-throated Kingfisher,83,White-throated Kingfisher,White-throated Kingfisher,Halcyon smyrnensis,Halcyon smyrnensis,Halcyon smyrnensis,Alcedinidae,Coraciiformes,AVIBASE-B30B6781,10,59.8,48.4,13.7,14.3,15.0,113.2,24.5,88.7,21.7,78.3,91.4,Human Modified,2,2.0,Carnivore,Omnivore,Insessorial,-7.55,38.88,21.21,83.74,6823580.46
Red legged Kittiwake,84,Red-legged Kittiwake,Red-legged Kittiwake,84,Red-legged Kittiwake,Red-legged Kittiwake,Rissa brevirostris,Rissa brevirostris,Rissa brevirostris,Laridae,Charadriiformes,AVIBASE-58B576ED,4,38.2,13.8,5.2,10.8,30.0,299.8,185.2,112.8,62.2,112.8,377.0,Marine,3,2.0,Carnivore,Aquatic predator,Aerial,51.77,61.8,55.95,-43.45,192125.06
Horned Lark,85,Horned Lark,Horned Lark,85,Horned Lark,Horned Lark,Eremophila alpestris,Eremophila alpestris,Eremophila alpestris,Alaudidae,Passeriformes,AVIBASE-FC0A1D95,4,13.9,9.2,4.2,5.0,23.5,108.1,41.7,66.2,38.6,71.4,33.3,Grassland,3,3.0,Omnivore,Omnivore,Terrestrial,4.06,77.73,53.86,4.61,35118904.89
Pacific Loon,86,Pacific Loon,Pacific Loon,86,Pacific Loon,Pacific Loon,Gavia pacifica,Gavia pacifica,Gavia pacifica,Gaviidae,Gaviiformes,AVIBASE-B7D7EF23,4,71.9,41.1,8.3,12.9,72.8,291.2,139.0,151.5,47.9,48.4,2251.1,Wetland,3,3.0,Carnivore,Aquatic predator,Aquatic,51.22,74.56,65.34,-99.42,5397186.87
Mallard,87,Mallard,Mallard,87,Mallard,Mallard,Anas platyrhynchos,Anas platyrhynchos,Anas platyrhynchos,Anatidae,Anseriformes,AVIBASE-85625D75,4,58.5,41.0,20.8,17.8,40.6,263.4,133.5,129.9,50.7,86.9,843.4,Wetland,3,2.0,Herbivore,Herbivore aquatic,Aquatic,20.46,72.37,51.63,11.04,39707247.47
Western Meadowlark,88,Western Meadowlark,Western Meadowlark,88,Western Meadowlark,Western Meadowlark,Sturnella neglecta,Sturnella neglecta,Sturnella neglecta,Icteridae,Passeriformes,AVIBASE-4A5B4883,4,33.8,22.0,6.1,7.5,35.0,117.0,32.5,84.5,27.8,71.6,100.1,Grassland,3,2.0,Omnivore,Invertivore,Terrestrial,21.43,56.55,42.66,-107.09,6719237.68
Hooded Merganser,89,Hooded Merganser,Hooded Merganser,89,Hooded Merganser,Hooded Merganser,Lophodytes cucullatus,Lophodytes cucullatus,Lophodytes cucullatus,Anatidae,Anseriformes,AVIBASE-60E6081E,4,39.6,27.6,8.3,9.3,29.2,186.6,95.0,91.5,50.9,85.6,613.8,Wetland,3,3.0,Carnivore,Aquatic predator,Aquatic,29.76,56.35,44.5,-91.96,5510396.5
Brewer Blackbird,9,Brewer's Blackbird,Brewer's Blackbird,9,Brewer's Blackbird,Brewer's Blackbird,Euphagus cyanocephalus,Euphagus cyanocephalus,Euphagus cyanocephalus,Icteridae,Passeriformes,AVIBASE-EA5E858A,4,22.6,14.4,5.8,7.5,31.0,126.4,39.1,86.2,31.2,100.6,62.5,Human Modified,3,2.0,Carnivore,Omnivore,Terrestrial,30.05,62.06,46.92,-110.63,5280448.27
Red breasted Merganser,90,Red-breasted Merganser,Red-breasted Merganser,90,Red-breasted Merganser,Red-breasted Merganser,Mergus serrator,Mergus serrator,Mergus serrator,Anatidae,Anseriformes,AVIBASE-8DB64266,4,65.0,42.8,8.2,10.6,45.5,233.6,114.8,118.0,49.3,76.2,1015.2,Wetland,3,3.0,Carnivore,Aquatic predator,Aquatic,42.01,75.22,60.86,26.86,23632905.44
Mockingbird,91,Blue Mockingbird,Blue Mockingbird,91,Blue Mockingbird,Blue Mockingbird,Melanotis caerulescens,Melanotis caerulescens,Melanotis caerulescens,Mimidae,Passeriformes,AVIBASE-C4D41592,4,27.9,16.7,4.8,6.1,30.2,111.2,15.2,96.0,13.7,126.5,61.6,Forest,2,1.0,Omnivore,Omnivore,Generalist,15.94,29.33,20.9,-102.01,577099.95
Nighthawk,92,Nacunda Nighthawk,Nacunda Nighthawk,92,Nacunda Nighthawk,Nacunda Nighthawk,Chordeiles nacunda,Chordeiles nacunda,Chordeiles nacunda,Caprimulgidae,Caprimulgiformes,AVIBASE-6E297C5B,4,19.7,8.9,5.4,4.0,23.8,238.2,113.4,123.6,47.9,123.6,159.0,Grassland,2,1.0,Carnivore,Invertivore,Aerial,-35.22,12.46,-9.61,-56.52,12270759.1
Clark Nutcracker,93,Clark's Nutcracker,Clark's Nutcracker,93,Clark's Nutcracker,Clark's Nutcracker,Nucifraga columbiana,Nucifraga columbiana,Nucifraga columbiana,Corvidae,Passeriformes,AVIBASE-D1FC2D6B,4,44.3,35.4,11.6,12.3,36.7,191.0,61.6,129.3,32.2,112.0,129.8,Forest,1,2.0,Omnivore,Omnivore,Insessorial,24.81,54.26,43.24,-114.14,2287629.4
White breasted Nuthatch,94,White-breasted Nuthatch,White-breasted Nuthatch,94,White-breasted Nuthatch,White-breasted Nuthatch,Sitta carolinensis,Sitta carolinensis,Sitta carolinensis,Sittidae,Passeriformes,AVIBASE-19CCBBD2,4,19.1,12.2,4.0,4.2,18.5,88.6,27.6,60.9,31.2,48.8,21.0,Forest,1,1.0,Omnivore,Omnivore,Insessorial,17.49,58.92,43.04,-102.26,8811748.35
Baltimore Oriole,95,Baltimore Oriole,Baltimore Oriole,95,Baltimore Oriole,Baltimore Oriole,Icterus galbula,Icterus galbula,Icterus galbula,Icteridae,Passeriformes,AVIBASE-5110842F,10,21.1,13.3,5.0,6.4,23.4,92.1,25.5,67.4,27.4,73.3,32.8,Forest,1,3.0,Omnivore,Invertivore,Insessorial,30.82,58.5,43.69,-91.8,4604558.64
Hooded Oriole,96,Hooded Oriole,Hooded Oriole,96,Hooded Oriole,Hooded Oriole,Icterus cucullatus,Icterus cucullatus,Icterus cucullatus,Icteridae,Passeriformes,AVIBASE-526A3692,4,21.2,13.9,4.3,5.2,21.6,83.4,16.4,65.7,20.0,91.4,24.3,Woodland,2,2.0,Omnivore,Omnivore,Insessorial,17.16,41.32,29.84,-107.92,1181319.94
Orchard Oriole,97,Orchard Oriole,Orchard Oriole,97,Orchard Oriole,Orchard Oriole,Icterus spurius,Icterus spurius,Icterus spurius,Icteridae,Passeriformes,AVIBASE-E2014696,4,17.2,11.6,4.4,5.3,21.5,77.0,20.9,56.6,26.9,67.0,19.4,Forest,2,3.0,Carnivore,Invertivore,Insessorial,19.0,50.57,36.74,-92.53,4790205.22
Scott Oriole,98,Scott's Oriole,Scott's Oriole,98,Scott's Oriole,Scott's Oriole,Icterus parisorum,Icterus parisorum,Icterus parisorum,Icteridae,Passeriformes,AVIBASE-9EE6D524,4,24.0,15.8,5.3,6.3,22.7,98.9,24.0,73.7,24.5,87.2,36.5,Shrubland,3,2.0,Carnivore,Invertivore,Insessorial,17.23,41.17,29.85,-106.89,1741688.63
Ovenbird,99,Ovenbird,Ovenbird,99,Ovenbird,Ovenbird,Seiurus aurocapilla,Seiurus aurocapilla,Seiurus aurocapilla,Parulidae,Passeriformes,AVIBASE-CEA5B6AA,4,15.1,8.9,3.6,4.1,22.3,73.2,18.3,55.1,24.9,50.4,18.8,Forest,1,3.0,Carnivore,Invertivore,Terrestrial,33.47,61.09,47.01,-92.45,5222797.22
