bird_class,bird_number_x,matches_x,matches2_x,bird_number_y,matches2_y,English name,Scientific Name,matches_y,Species1,Family1,Order1,Avibase.ID1,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
Red cockaded Woodpecker,190,Red-cockaded Woodpecker,Red-cockaded Woodpecker,190,Red-cockaded Woodpecker,Red-cockaded Woodpecker,Leuconotopicus borealis,Leuconotopicus borealis,Leuconotopicus borealis,Picidae,Piciformes,AVIBASE-0BFCAE79,4,18.2,14.1,6.8,6.1,21.1,117.0,37.2,78.8,32.1,85.0,48.0,Forest,2,1.0,Carnivore,Invertivore,Insessorial,25.85,37.47,32.35,-85.56,603894.41
Red headed Woodpecker,191,Red-headed Woodpecker,Red-headed Woodpecker,191,Red-headed Woodpecker,Red-headed Woodpecker,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Melanerpes erythrocephalus,Picidae,Piciformes,AVIBASE-448D91B7,4,27.3,20.3,7.6,7.4,20.6,139.7,40.6,98.9,29.1,83.3,71.6,Forest,1,1.0,Carnivore,Invertivore,Insessorial,25.64,51.7,40.26,-93.26,5461683.2
Downy Woodpecker,192,Downy Woodpecker,Downy Woodpecker,192,Downy Woodpecker,Downy Woodpecker,Dryobates pubescens,Dryobates pubescens,Dryobates pubescens,Picidae,Piciformes,AVIBASE-1B2A6386,5,17.4,12.2,4.9,4.8,15.8,91.3,24.3,65.9,27.0,58.6,25.6,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,24.53,68.3,48.23,-104.67,12800223.82
Bewick Wren,193,Bewick's Wren,Bewick's Wren,193,Bewick's Wren,Bewick's Wren,Thryomanes bewickii,Thryomanes bewickii,Thryomanes bewickii,Troglodytidae,Passeriformes,AVIBASE-603194D3,4,15.5,10.1,2.6,3.0,17.5,54.0,7.3,46.1,13.8,51.2,9.9,Shrubland,2,2.0,Carnivore,Invertivore,Generalist,16.27,50.41,33.54,-106.62,3360146.45
Cactus Wren,194,Cactus Wren,Cactus Wren,194,Cactus Wren,Cactus Wren,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus,Troglodytidae,Passeriformes,AVIBASE-891F222F,4,26.1,16.4,4.0,5.7,26.2,83.2,11.3,70.7,13.7,86.4,38.9,Shrubland,3,1.0,Carnivore,Invertivore,Insessorial,19.31,38.69,29.03,-105.91,1847263.76
Carolina Wren,195,Carolina Wren,Carolina Wren,195,Carolina Wren,Carolina Wren,Thryothorus ludovicianus,Thryothorus ludovicianus,Thryothorus ludovicianus,Troglodytidae,Passeriformes,AVIBASE-5217F951,10,16.9,11.1,3.2,3.9,21.4,59.4,6.8,52.6,11.4,50.7,19.0,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,21.45,45.64,35.21,-87.93,3040027.22
House Wren,196,House Wren,House Wren,196,House Wren,House Wren,Troglodytes aedon,Troglodytes aedon,Troglodytes aedon,Troglodytidae,Passeriformes,AVIBASE-7B6E99A9,26,15.9,9.8,3.0,3.1,20.1,51.4,6.7,44.9,12.9,41.1,10.9,Shrubland,3,1.0,Carnivore,Invertivore,Insessorial,-55.72,59.66,4.96,-75.18,25653883.47
Marsh Wren,197,Marsh Wren,Marsh Wren,197,Marsh Wren,Marsh Wren,Cistothorus palustris,Cistothorus palustris,Cistothorus palustris,Troglodytidae,Passeriformes,AVIBASE-787E0536,4,16.0,9.9,2.7,3.4,19.2,48.4,9.7,38.7,20.0,39.5,10.8,Wetland,3,2.0,Carnivore,Invertivore,Insessorial,19.33,59.35,44.47,-102.65,4855077.99
Rock Wren,198,Rock Wren,Rock Wren,198,Rock Wren,Rock Wren,Salpinctes obsoletus,Salpinctes obsoletus,Salpinctes obsoletus,Troglodytidae,Passeriformes,AVIBASE-76DF73A9,4,19.9,12.6,2.9,3.4,20.1,69.0,11.8,56.6,17.3,55.6,16.4,Rock,3,1.0,Carnivore,Invertivore,Terrestrial,10.66,54.32,37.18,-108.97,5424173.4
Winter Wren,199,Winter Wren,Winter Wren,199,Winter Wren,Winter Wren,Troglodytes hiemalis,Troglodytes hiemalis,Troglodytes hiemalis,Troglodytidae,Passeriformes,AVIBASE-C757BD95,4,12.5,8.5,2.3,2.3,18.1,45.8,7.7,38.0,17.0,27.6,8.9,Forest,1,3.0,Carnivore,Invertivore,Insessorial,34.58,60.53,49.93,-87.13,3348061.18
